,studlab,treat1,treat2,TE1,seTE1,event11,n11,event21,n21,TE2,seTE2,event12,n12,event22,n22,incr,allstudies,unique_id,studlab.orig,year,rob,sample_size,age,male_percentage,weight,bmi,effect_size1,outcome1_direction,effect_size2,outcome2_direction,treat.orig1,treat.orig2,treat_class1,treat_class2,r11,r12,r21,r22
0,ACCEPT_2010,ETA,USK,-0.5889475615441888,0.11022068225846607,80,347,231,347,-0.22170366625622218,0.608538901360067,4,556,8,556,0.0,0,1,ACCEPT_2010,2010,3,903,45.0,0.68,90.0,,RR,beneficial,RR,harmful,ETA,USK,ATA,AIL1223,80,231,4,8
1,ALLURE_2021,PBO,SECU,-3.88480272545198,0.9945484239580256,1,71,98,71,1.3933119337785371,1.2161095698845312,2,143,1,143,0.0,0,139,ALLURE_2021,2021,1,214,43.5,0.62,91.0,30.5,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,1,98,2,1
2,AMAGINE-1 2016,BRODA,PBO,4.229133553000213,0.7053192077652363,186,298,2,298,0.38968124040690233,0.7014975700289765,6,220,3,220,0.0,0,74,AMAGINE-1 2016,2016,1,661,46.0,0.73,91.0,,RR,beneficial,RR,harmful,BRODA,PBO,AIL17,PBO,186,2,6,3
3,AMAGINE-2_2015,BRODA,PBO,2.9169255039219375,0.31195097771257324,731,1222,10,1222,-0.5099054253471907,0.41662573418730536,19,309,8,309,0.0,0,76,AMAGINE-2_2015,2015,2,1831,45.0,0.69,91.0,31,RR,beneficial,RR,harmful,BRODA,PBO,AIL17,PBO,731,10,19,8
4,AMAGINE-2_2015,BRODA,USK,0.2411919042962707,0.06563934566058571,731,1222,141,1222,0.15368295297121012,0.5463331538616986,19,300,4,300,0.0,0,76,AMAGINE-2_2015,2015,2,1831,45.0,0.69,91.0,31,RR,beneficial,RR,harmful,BRODA,USK,AIL17,AIL1223,731,141,19,4
5,AMAGINE-2_2015,PBO,USK,-2.675733599625667,0.31705302284244885,10,309,141,309,0.6635883783184009,0.6069846956159389,8,300,4,300,0.0,0,76,AMAGINE-2_2015,2015,2,1831,45.0,0.69,91.0,31,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,10,141,8,4
6,AMAGINE-3_2015,BRODA,PBO,3.6378801476749976,0.44424099715265014,756,1253,5,1253,0.46510337442789534,0.6180551953580936,19,315,3,315,0.0,0,77,AMAGINE-3_2015,2015,2,1881,45.0,0.68,89.0,30,RR,beneficial,RR,harmful,BRODA,PBO,AIL17,PBO,756,5,19,3
7,AMAGINE-3_2015,BRODA,USK,0.23700230587815874,0.06357033854592455,756,1253,149,1253,0.8641990342505802,0.7407014284929437,19,313,2,313,0.0,0,77,AMAGINE-3_2015,2015,2,1881,45.0,0.68,89.0,30,RR,beneficial,RR,harmful,BRODA,USK,AIL17,AIL1223,756,149,19,2
8,AMAGINE-3_2015,PBO,USK,-3.400877841796839,0.4475957082484776,5,315,149,315,0.3990956598226847,0.9093755230815355,3,313,2,313,0.0,0,77,AMAGINE-3_2015,2015,2,1881,45.0,0.68,89.0,30,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,5,149,3,2
9,Asahina_2010,ADA,PBO,3.7681432848885286,1.4098896275992094,57,123,0,123,-0.2903957783233771,0.8486052016482132,4,46,2,46,0.0,0,21,Asahina_2010,2010,2,169,45.0,0.85,70.0,,RR,beneficial,RR,harmful,ADA,PBO,ATA,PBO,57,0,4,2
10,Bachelez_2015,ETA,PBO,3.5471512942852352,0.9985107958974753,108,336,1,336,0.11778303565638346,0.7941169266057065,7,108,2,108,0.0,0,67,Bachelez_2015,2015,1,444,44.0,0.68,81.0,,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,108,1,7,2
11,Bagel 2012,ETA,PBO,2.70805020110221,1.0170587997507998,15,62,1,62,,,0,62,0,62,0.5,0,25,Bagel 2012,2012,1,124,40.5,0.56,,30,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,15,1,0,0
12,BE ABLE 1_2018,BIME,PBO,4.062054214960166,1.4066598625913085,142,208,0,208,-1.5998684614179495,1.4040593947133375,1,42,1,42,0.0,0,120,BE ABLE 1_2018,2018,1,250,44.0,0.65,88.0,,RR,beneficial,RR,harmful,BIME,PBO,AIL17,PBO,142,0,1,1
13,BE RADIANT_2021,BIME,SECU,0.14034459111272804,0.03724905400748272,319,373,275,373,,,0,370,0,370,0.5,0,152,BE RADIANT_2021,2021,1,743,45.0,0.65,89.5,,RR,beneficial,RR,harmful,BIME,SECU,AIL17,AIL17,319,275,0,0
14,BE READY_2021,BIME,PBO,4.3581771479283615,0.9943145064027045,317,349,1,349,-0.30211233728080966,0.8075725541256515,6,86,2,86,0.0,0,150,BE READY_2021,2021,1,435,44.0,0.72,89.5,30,RR,beneficial,RR,harmful,BIME,PBO,AIL17,PBO,317,1,6,2
15,BE SURE_2021,ADA,BIME,-0.5064656473560936,0.08021235066919577,82,159,273,159,0.6962869005646132,0.6249607152338896,5,319,5,319,0.0,0,153,BE SURE_2021,2021,1,478,45.0,0.69,91.0,30.5,RR,beneficial,RR,harmful,ADA,BIME,ATA,AIL17,82,273,5,5
16,BE VIVID_2021,BIME,PBO,2.870576918731651,0.4883641531627926,273,321,4,321,-0.43630978345926286,0.8275485136421961,5,83,2,83,0.0,0,151,BE VIVID_2021,2021,1,567,46.0,0.72,88.5,29.5,RR,beneficial,RR,harmful,BIME,PBO,AIL17,PBO,273,4,5,2
17,BE VIVID_2021,BIME,USK,0.5373317181892674,0.08220978380149274,273,321,81,321,-0.6776909223232535,0.6250998047330832,5,163,5,163,0.0,0,151,BE VIVID_2021,2021,1,567,46.0,0.72,88.5,29.5,RR,beneficial,RR,harmful,BIME,USK,AIL17,AIL1223,273,81,5,5
18,BE VIVID_2021,PBO,USK,-2.333245200542384,0.49412803696623814,4,83,81,83,-0.2413811388639906,0.8257220100637759,2,163,5,163,0.0,0,151,BE VIVID_2021,2021,1,567,46.0,0.72,88.5,29.5,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,4,81,2,5
19,Blauvelt_2021,PBO,RISAN,-2.7937909298903842,0.6974216345919707,2,52,66,52,-0.4007145053495665,1.6242353199685278,0,105,1,105,0.5,0,164,Blauvelt_2021,2021,3,157,49.0,0.55,94.300003,32.5,RR,beneficial,RR,harmful,PBO,RISAN,PBO,AIL23,2,66,0,1
20,BRIDGE_2017,FUM,PBO,1.497380503518383,0.4083435006139864,110,566,6,566,-0.1875649614238627,0.49981033217398946,17,138,5,138,0.0,0,88,BRIDGE_2017,2016,3,704,44.5,0.64,,,RR,beneficial,RR,harmful,FUM,PBO,CSA,PBO,110,6,17,5
21,Cai_2016,ADA,PBO,2.7806918973334045,0.5693853260440451,188,338,3,338,-1.0694557043766542,0.7542416725281846,4,87,3,87,0.0,0,80,Cai_2016,2016,1,425,43.0,0.73,70.0,24,RR,beneficial,RR,harmful,ADA,PBO,ATA,PBO,188,3,4,3
22,Cai_2020,PBO,SECU,-3.887835779814142,0.7025179305248446,2,135,295,135,-0.8399177530895812,0.7493798660419208,2,408,14,408,0.0,0,141,Cai_2020,2020,1,441,39.5,0.79,73.0,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,2,295,2,14
23,CARIMA_2019,PBO,SECU,-3.2794430562286525,1.4164764447743707,0,49,27,49,1.4262996957335896,1.2123480998319198,2,102,1,102,0.0,0,135,CARIMA_2019,2020,3,151,45.200001,0.68,89.0,29,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,0,27,2,1
24,CIMPACT_2018,CERTO,ETA,0.1793932970148664,0.14781523862426535,108,332,46,332,0.9401013805678735,1.0913778442253868,5,170,1,170,0.0,0,128,CIMPACT_2018,2018,2,559,46.0,0.68,89.0,30,RR,beneficial,RR,harmful,CERTO,ETA,ATA,ATA,108,46,5,1
25,CIMPACT_2018,CERTO,PBO,3.6250424412478557,1.4102545042356478,108,332,0,332,-1.7620837010819383,0.6159903344680874,5,57,5,57,0.0,0,128,CIMPACT_2018,2018,2,559,46.0,0.68,89.0,30,RR,beneficial,RR,harmful,CERTO,PBO,ATA,PBO,108,0,5,5
26,CIMPACT_2018,ETA,PBO,3.445649144232989,1.4135943439887426,46,170,0,170,-2.702185081649812,1.0846998605188907,1,57,5,57,0.0,0,128,CIMPACT_2018,2018,2,559,46.0,0.68,89.0,30,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,46,0,1,5
27,CIMPASI-1_2018,CERTO,PBO,2.99900559889896,0.994392560751194,72,183,1,183,0.6682496289382183,1.05725343170196,7,51,1,51,0.0,0,103,CIMPASI-1_2018,2018,1,234,46.0,0.69,93.0,31,RR,beneficial,RR,harmful,CERTO,PBO,ATA,PBO,72,1,7,1
28,CIMPASI-2_2018,CERTO,PBO,2.5707664588591372,0.6960604679164575,95,178,2,178,1.2823334258164876,1.4587809611959484,6,49,0,49,0.5,0,104,CIMPASI-2_2018,2018,1,227,45.0,0.56,93.0,31,RR,beneficial,RR,harmful,CERTO,PBO,ATA,PBO,95,2,6,0
29,CLARITY_2018,SECU,USK,0.3458190283422739,0.045716545105517495,421,550,299,550,0.445462520329618,0.4229774302709332,14,552,9,552,0.0,0,97,CLARITY_2018,2018,1,1102,45.0,0.66,92.0,,RR,beneficial,RR,harmful,SECU,USK,AIL17,AIL1223,421,299,14,9
30,CLEAR_2015,SECU,USK,0.319176091269519,0.05524503941819682,264,337,193,337,0.0059171770280885185,0.44054828162436444,10,339,10,339,0.0,0,72,CLEAR_2015,2015,1,676,45.0,0.71,87.0,29,RR,beneficial,RR,harmful,SECU,USK,AIL17,AIL1223,264,193,10,10
31,ECLIPSE_2019,GUSEL,SECU,-0.09608348944986828,0.03807082070885122,369,534,391,534,-0.15258292468277385,0.23132633413037645,33,514,37,514,0.0,0,142,ECLIPSE_2019,2019,1,1048,46.0,0.67,,30,RR,beneficial,RR,harmful,GUSEL,SECU,AIL23,AIL17,369,391,33,37
32,Elewski_2016,ADA,PBO,1.8950207975498212,0.3817069129790014,47,109,7,109,0.4607869741408116,0.5536844126523116,8,108,5,108,0.0,0,99,Elewski_2016,2016,1,217,47.0,0.84,90.0,29,RR,beneficial,RR,harmful,ADA,PBO,ATA,PBO,47,7,8,5
33,ERASURE_2014,PBO,SECU,-3.7010499897341917,0.5756969042898817,3,248,240,248,-0.23531408693446484,0.5864528332346542,4,490,10,490,0.0,0,8,ERASURE_2014,2014,1,738,45.0,0.69,89.0,30,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,3,240,4,10
34,ESTEEM-1_2015,APRE,PBO,3.3177384062768933,1.0064076507362378,55,562,1,562,-0.28412967084741303,0.4505639517448641,12,282,8,282,0.0,0,20,ESTEEM-1_2015,2015,1,844,46.5,0.68,93.5,31,RR,beneficial,RR,harmful,APRE,PBO,SM,PBO,55,1,12,8
35,ESTEEM-2_2015,APRE,PBO,1.7953892372786338,0.7285491927239429,24,275,2,275,-0.178691788743376,0.7228074383163025,5,138,3,138,0.0,0,66,ESTEEM-2_2015,2015,1,413,45.5,0.67,91.0,31,RR,beneficial,RR,harmful,APRE,PBO,SM,PBO,24,2,5,3
36,EXPRESS_2005,IFX,PBO,3.784189633918261,0.9947384989861138,172,301,1,301,0.7767613206010788,0.7365556715473306,17,77,2,77,0.0,0,17,EXPRESS_2005,2005,1,378,43.0,0.71,,,RR,beneficial,RR,harmful,IFX,PBO,ATA,PBO,172,1,17,2
37,EXPRESS-II_2007,IFX,PBO,4.449551123990014,0.998735891190868,258,627,1,627,-0.22793972357770292,0.5262420970370031,12,208,5,208,0.0,0,40,EXPRESS-II_2007,2007,1,835,44.0,0.66,92.0,,RR,beneficial,RR,harmful,IFX,PBO,ATA,PBO,258,1,12,5
38,Fallaharani_2011,FUM,MTX,-0.6931471805599453,1.1972189997378648,1,30,2,30,,,0,30,0,30,0.5,0,35,Fallaharani_2011,2011,3,60,42.0,0.6,85.0,;,RR,beneficial,RR,harmful,FUM,MTX,CSA,CSA,1,2,0,0
39,FEATURE_2015,PBO,SECU,-4.155250438434989,1.4108516896688987,0,59,63,59,-0.6931471805599453,1.106605743337003,1,118,4,118,0.0,0,7,FEATURE_2015,2014,1,177,46.0,0.66,92.0,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,0,63,1,4
40,FIXTURE_2014,ETA,PBO,2.5952547069568657,0.4569358858846337,67,326,5,326,-0.6931471805599453,0.7027553135159113,3,326,6,326,0.0,0,9,FIXTURE_2014,2014,1,1306,44.0,0.71,83.0,34,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,67,5,3,6
41,FIXTURE_2014,ETA,SECU,-0.8421005983280253,0.11633556932044598,67,326,312,326,-0.6030730140397697,0.6478008085762783,3,654,11,654,0.0,0,9,FIXTURE_2014,2014,1,1306,44.0,0.71,83.0,34,RR,beneficial,RR,harmful,ETA,SECU,ATA,AIL17,67,312,3,11
42,FIXTURE_2014,PBO,SECU,-3.437355305284891,0.44565523844647437,5,326,312,326,0.09007416652017562,0.5029703976631361,6,654,11,654,0.0,0,9,FIXTURE_2014,2014,1,1306,44.0,0.71,83.0,34,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,5,312,6,11
43,Flystrom_2008,CICLO,MTX,0.7633021672270742,0.5598794988702334,9,43,4,43,,,0,41,0,41,0.5,0,14,Flystrom_2008,2007,3,84,46.5,0.65,86.0,,RR,beneficial,RR,harmful,CICLO,MTX,CSA,CSA,9,4,0,0
44,Gordon_2006,ADA,PBO,3.653950038293953,1.41377462869312,35,96,0,96,2.7585659912391116,1.4281299674375727,14,52,0,52,0.5,0,22,Gordon_2006,2006,1,148,44.0,0.67,95.0,,RR,beneficial,RR,harmful,ADA,PBO,ATA,PBO,35,0,14,0
45,Gordon_2015_X-PLORE,ADA,GUSEL,-0.053934035329186836,0.18675478852415858,19,43,97,43,0.4777256753396458,1.1424840598766148,1,208,3,208,0.0,0,68,Gordon_2015_X-PLORE,2015,3,293,47.0,0.71,92.0,31,RR,beneficial,RR,harmful,ADA,GUSEL,ATA,AIL23,19,97,1,3
46,Gordon_2015_X-PLORE,ADA,PBO,2.9209084817562463,1.0027792584534028,19,43,1,43,-0.023530497410194046,1.3974743869699322,1,42,1,42,0.0,0,68,Gordon_2015_X-PLORE,2015,3,293,47.0,0.71,92.0,31,RR,beneficial,RR,harmful,ADA,PBO,ATA,PBO,19,1,1,1
47,Gordon_2015_X-PLORE,GUSEL,PBO,2.9748425170854333,0.9908037455688686,97,208,1,208,-0.5012561727498399,1.142241707002558,3,42,1,42,0.0,0,68,Gordon_2015_X-PLORE,2015,3,293,47.0,0.71,92.0,31,RR,beneficial,RR,harmful,GUSEL,PBO,AIL23,PBO,97,1,3,1
48,Gottlieb_2004a,IFX,PBO,3.2685314153140617,0.9925449981642482,102,198,1,198,1.8696685324106461,1.4337171062997505,12,51,0,51,0.5,0,42,Gottlieb_2004a,2004,1,249,44.0,0.63,,,RR,beneficial,RR,harmful,IFX,PBO,ATA,PBO,102,1,12,0
49,Gottlieb_2011,ETA,PBO,2.7672553762644188,1.0042434711605195,33,141,1,141,-0.7292521852020616,1.406485662587962,1,68,1,68,0.0,0,84,Gottlieb_2011,2011,1,209,43.5,0.7,95.0,,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,33,1,1,1
50,Heydendael_2003,CICLO,MTX,-0.1941560144409575,0.2912001981211391,14,44,17,44,,,0,44,0,44,0.5,0,15,Heydendael_2003,2003,3,88,42.5,0.65,,,RR,beneficial,RR,harmful,CICLO,MTX,CSA,CSA,14,17,0,0
51,Hunter_1963,MTX,PBO,0.990398704027877,1.599450455075667,1,19,0,19,,,0,17,0,17,0.5,0,50,Hunter_1963,1963,3,41,,,,,RR,beneficial,RR,harmful,MTX,PBO,CSA,PBO,1,0,0,0
52,Igarashi_2012,PBO,USK,-2.5006550067561393,0.9907809169522924,1,32,48,32,0.965080896043587,0.8911491600157773,2,126,3,126,0.0,0,2,Igarashi_2012,2012,2,160,45.0,0.79,72.0,26,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,1,48,2,3
53,IMMerge_2021,RISAN,SECU,0.11684548411739885,0.07333298645001163,121,164,107,164,0.3993488810907282,0.5153108260817103,9,163,6,163,0.0,0,148,IMMerge_2021,2020,2,327,47.0,0.65,,,RR,beneficial,RR,harmful,RISAN,SECU,AIL23,AIL17,121,107,9,6
54,IMMhance_2020,PBO,RISAN,-3.6003033064909555,0.7006416361029254,2,100,298,100,1.4036429994545037,0.48738382979228756,8,407,8,407,0.0,0,131,IMMhance_2020,2020,1,507,49.0,0.7,90.5,30.5,RR,beneficial,RR,harmful,PBO,RISAN,PBO,AIL23,2,298,8,8
55,IMMvent_2019,ADA,RISAN,-0.42459919987043443,0.07014176778014684,144,304,218,304,-0.11527795231517235,0.45221607478139025,9,301,10,301,0.0,0,130,IMMvent_2019,2019,1,605,46.0,0.7,90.0,30.5,RR,beneficial,RR,harmful,ADA,RISAN,ATA,AIL23,144,218,9,10
56,IXORA-R_2020,GUSEL,IXE,-0.2570872073666473,0.0475269509276482,285,507,378,507,-0.09246522767209356,0.33787585300625944,16,520,18,520,0.0,0,146,IXORA-R_2020,2020,1,1027,49.0,0.63,95.0,33,RR,beneficial,RR,harmful,GUSEL,IXE,AIL23,AIL17,285,378,16,18
57,IXORA-S_2017  ,IXE,USK,0.3417532426622599,0.07534322526122834,113,136,98,136,-0.31149272114549936,0.7210799510257657,3,166,5,166,0.0,0,124,IXORA-S_2017  ,2017,1,302,43.0,0.67,87.5,29,RR,beneficial,RR,harmful,IXE,USK,AIL17,AIL1223,113,98,3,5
58,JUNCTURE_2015,PBO,SECU,-4.064055040395119,1.4117013455654503,0,61,57,61,-0.7013776796964608,1.106951712843488,1,121,4,121,0.0,0,73,JUNCTURE_2015,2015,1,182,45.0,0.69,91.0,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,0,57,1,4
59,Krueger_2007,PBO,USK,-3.1675825304806504,0.9954873508937588,1,64,95,64,-0.8109302162163288,1.044786993176653,1,256,9,256,0.0,0,3,Krueger_2007,2007,1,320,45.0,0.69,93.0,,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,1,95,1,9
60,Leonardi_2003,ETA,PBO,2.995732273553991,1.0043555937665498,60,504,1,504,,,0,168,0,168,0.5,0,29,Leonardi_2003,2003,1,672,45.0,0.65,,,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,60,1,0,0
61,Leonardi_2012,IXE,PBO,3.3098476030739277,1.4044107872435974,57,115,0,115,-0.7559480817989757,1.2059300604881902,2,27,1,27,0.0,0,38,Leonardi_2012,2012,1,142,46.0,0.57,93.0,,RR,beneficial,RR,harmful,IXE,PBO,AIL17,PBO,57,0,2,1
